ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,94-95°F,5913647106393563805265052271140587544942939455584606242693095026580526578088,0.18,10.27,0.3,10.14,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,96-97°F,55451914103561779022769061993374789967199603561330353359015538446469250234202,0.32,27.49,0.36,5,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,98-99°F,97033725548458363946590828124202122409753966654611956309463056126948228256622,0.15,5,0.26,10.88,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,100-101°F,61020752225750276961533996706137058863948306309582255082186166852527209449983,0.09,38,0.11,5,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,102-103°F,79363660365683499738127990829500309028829596384613260607057565480864233850767,0.01,275.56,0.05,32.9,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,104-105°F,80748333656809236678728996429074720065826039522744861486959675719531599493873,,,0.009,141.74,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,106-107°F,10638376272003045494534097094831052629016933585357292620288952177831840761553,,,0.003,424.13,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+0,2026-09-10,highest-temperature-in-austin-on-september-10-2026,108°F or higher,105339211466642793516731261216185022248361861838420437288583587212471087263043,,,0.001,3258.37,2026-09-10T06:01:24.995111+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,87°F or below,102423621817822923482246592292722698231801063823101381112913694816351184902947,0.001,418.67,0.002,43,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,88-89°F,10399692009827089847559005511189362301364440508004045224653859735757422443115,0.001,827.98,0.004,32.01,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,104-105°F,3972893581940055253967024769391779281766855686496389711797538980119478414911,0.01,39.94,0.03,134.95,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,106°F or higher,68962449487614376761957745260458042695565598740507726823036440419169082262897,0.002,30,0.01,90.51,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,90-91°F,32255150859107042132559018796384843254288722433790577063203810423599175510210,0.005,2.31,0.009,57,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,92-93°F,81874917473615650058045936415148843599411529989285228106538925319855804516310,0.005,80,0.009,79.98,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,94-95°F,103526717414493305056999851746666931817671658209365622871214178745736895701658,,,0.03,35,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,96-97°F,63996818749716244087795443210423135782107147557718786939722333859013416299793,0.08,69.78,0.11,75.87,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,98-99°F,98449118518155531645675322027866336365705540995038381845607780614104432907221,0.45,10.25,0.46,5,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,100-101°F,63315903179371090924028688759972606612828651917695821768299052346230575309326,0.39,188.65,0.4,673.76,2026-09-10T06:01:28.014978+00:00
Austin,highest,J+1,2026-09-11,highest-temperature-in-austin-on-september-11-2026,102-103°F,58586366276696878120708278306307420259768859383699509862247043635863842703462,0.05,18.54,0.08,59.99,2026-09-10T06:01:28.014978+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,69°F or below,14025188512149547896254171582489200062134176569764174162119350104349442549611,,,0.98,60,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,70-71°F,17372359965203684000457467864151348790107507755806514835091369280756047959479,0.01,204.69,0.39,25,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,72-73°F,74014673397230199878700955245421105022537095172454165398255005373235200304703,0.04,65,0.4,5,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,74-75°F,97998509080959351739413112901205876575977671271911646517481740525691577961182,0.09,37.22,0.4,5,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,76-77°F,94013215585739456946744385351067554388045373715795370563875639150049277055610,0.04,65,0.4,5,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,78-79°F,105005894161869131595238359760686609427143159830347860537074151897867150947351,0.03,81.66,0.4,5,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,80-81°F,29545117688882117565785364260050386249784719299355125844377654930727965112042,,,0.001,8,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,82-83°F,81829894640956369909215611636697495911150767809423893706743452508991722062059,,,0.008,8.06,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,84-85°F,22363225866177760284472695422927073440634209389800670473565775977187413366110,,,0.002,10,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,86-87°F,113496801855397336131192132689996863313939886183450462334512860859716449657340,,,0.002,10,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+0,2026-09-10,lowest-temperature-in-austin-on-september-10-2026,88°F or higher,89860418617399086687916973621919107002427141421987338600727837709612628974657,,,0.002,10,2026-09-10T06:01:31.138324+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,67°F or below,71390438361769828671788538938196894788051707550448254208126321783662569340629,,,0.86,171,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,68-69°F,41734933125730157485138805422566231858077477251041026355165052315530537411892,,,0.39,37.32,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,70-71°F,106345959818923424194131120237947720226216662218502589347615819775013045218028,,,0.39,37.32,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,72-73°F,75951928461334071210895989529024541840637711516501358109790998000110907504177,,,0.4,5,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,74-75°F,62650786801108622884397764124075307277021109196944028308472239724332514483506,0.2,10,0.4,5,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,76-77°F,49425579594190136353209573628639442159517199420313702637284883905324442211316,0.16,15,0.4,5,2026-09-10T06:01:34.258022+00:00
Austin,lowest,J+1,2026-09-11,lowest-temperature-in-austin-on-september-11-2026,78-79°F,51817692089716482960768282743335320179623956274796652712149885905649890708134,0.07,43.57,0.39,27.32,2026-09-10T06:01:34.258022+00:00
